millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
97200,24.09643,95191,14.97352,91.84700,523.69342,-9.65504,-2.46939,0.93320,0.03451,-0.00244,-0.00580,-39.68138,1.35925,11.83864,20,
98546,24.11600,95191,14.95957,92.04800,523.69342,-9.69093,-2.31865,1.04088,0.05742,-0.00947,0.02413,-38.71675,1.02309,10.93248,20,
99892,24.13240,95192,14.93558,92.14900,523.51636,-9.61915,-2.61296,0.81117,0.00733,-0.02382,0.00092,-39.33060,2.79158,12.20403,20,
101245,24.14692,95192,14.90656,92.96400,523.60620,-9.68375,-2.69193,0.91167,0.04490,0.02505,0.01894,-39.75446,1.60772,11.28325,20,
102591,24.16711,95192,14.89264,92.75900,523.60620,-9.76272,-1.99561,0.80399,-0.07025,-0.12798,-0.02413,-38.90675,-0.42385,11.97018,20,
103938,24.18415,95191,14.87363,93.37700,523.60620,-9.88475,-1.95254,0.58146,-0.00794,-0.07239,-0.00519,-38.71675,-0.74540,14.39638,20,
105286,24.20056,95192,14.85460,94.00400,523.51636,-9.94936,-0.60299,-1.91665,-0.30085,-0.23702,0.18173,-34.98977,-5.97778,22.30342,20,
106633,24.21760,95192,14.83560,94.10900,523.60620,-9.99961,-1.06959,-0.53839,-0.06964,-0.13775,0.03940,-35.77901,-5.17393,18.35720,20,
107978,24.23306,95193,14.81158,94.63900,523.51636,-10.11446,-0.84706,-0.90449,-0.02016,-0.09591,0.01008,-35.39901,-5.34931,19.49722,20,
109323,24.25262,95191,14.79270,95.28300,523.60620,-9.97807,-0.33021,-0.48096,-0.06720,-0.06048,0.22541,-35.16515,-6.98626,19.21953,20,
110672,24.26493,95191,14.75866,94.77100,523.60620,-10.00678,-0.84706,-0.27278,0.02841,0.01619,0.03879,-36.08594,-5.18854,18.32797,20,
112019,24.28134,95192,14.72976,95.49900,523.60620,-9.97807,-0.84706,0.02871,-0.05742,-0.06322,0.08766,-35.31131,-5.94855,16.64718,20,
113406,24.27723,95193,14.69499,94.34600,523.51636,-9.99961,-0.68195,0.02871,-0.00916,-0.11240,-0.02291,-36.20287,-5.01315,15.44870,20,
114752,24.29364,95193,14.67598,94.93200,523.42920,-9.93500,-0.91167,0.16510,0.00214,-0.02352,-0.00886,-35.42824,-4.61853,15.34639,20,
116101,24.31699,95193,14.64247,95.85200,523.51636,-9.87039,-1.56491,-0.46660,-0.00489,-0.03238,0.02779,-37.16750,-2.58696,18.51798,20,
117447,24.33813,95192,14.61874,95.85200,523.60620,-9.92064,-1.42134,-0.90449,-0.04765,-0.05986,0.08338,-36.02748,-3.24467,21.01725,20,
118793,24.35769,95192,14.59000,96.18100,523.60620,-9.96371,-1.23470,-0.37328,0.01161,-0.02443,0.06261,-36.24671,-4.01929,18.47413,20,
120138,24.37473,95192,14.55623,96.56800,523.51636,-9.92064,-1.08395,-0.33021,0.05009,0.01497,-0.01527,-36.04210,-3.72698,18.57644,20,
121488,24.39019,95194,14.52732,96.29100,523.34198,-9.94218,-0.81117,-0.53839,0.00275,-0.05773,0.01252,-35.39901,-4.51622,17.02718,20,
122832,24.40692,95194,14.49847,96.90200,523.42920,-10.01396,-0.95474,-0.55274,-0.01772,0.00550,0.09285,-35.60363,-4.92546,18.69337,20,
124178,24.42364,95193,14.47456,97.06900,523.42920,-9.92064,-0.86859,-0.10050,0.04246,-0.07972,-0.07361,-35.92517,-4.86700,18.09412,20,
125527,24.43879,95193,14.45059,97.40700,523.51636,-9.94936,-0.89731,-0.07896,0.01100,-0.03024,0.02199,-35.31131,-5.65624,17.21719,20,
126875,24.45236,95193,14.43147,97.91700,523.51636,-9.87757,-1.90229,0.02871,-0.41508,-0.21716,0.03879,-35.38439,-5.46624,18.76644,20,
128221,24.46845,95192,14.40755,98.54900,523.51636,-9.94218,-1.04088,-0.26560,0.13378,0.09224,-0.12004,-35.63285,-4.04852,19.73107,20,
129566,24.48549,95193,14.38859,98.08900,523.42920,-9.89911,-0.17228,0.54556,-0.05101,-0.18998,0.16860,-34.43438,-7.64396,16.20871,20,
130916,24.49874,95192,14.35962,97.91700,523.60620,-9.86322,-0.53121,-0.02871,0.00947,-0.05895,0.04795,-35.01900,-6.12394,17.83104,20,
132261,24.51389,95191,14.33566,99.07100,523.60620,-9.94936,-0.50967,0.16510,0.01344,-0.02382,0.02474,-34.98977,-6.06548,16.73487,20,
133608,24.53029,95192,14.31176,98.31800,523.51636,-9.89911,-0.45942,0.22971,0.01497,-0.02321,-0.04826,-35.28208,-6.08009,16.45718,20,
135004,24.52493,95192,14.29182,98.31800,523.60620,-10.10728,-0.72503,0.09332,0.04490,0.02016,-0.04948,-34.75592,-6.28471,17.18796,20,
136354,24.53850,95192,14.27765,99.36400,523.60620,-10.02114,-0.48814,0.13639,0.14416,0.03451,-0.01222,-34.65361,-6.46010,17.90412,20,
137704,24.56121,95192,14.26388,98.54900,523.51636,-9.98525,-0.76810,-0.23689,-0.01955,-0.05498,0.00702,-35.38439,-5.78778,18.70798,20,
139049,24.58457,95192,14.25506,99.01300,523.60620,-9.95653,-0.68913,-0.07896,0.28191,0.31826,-0.06139,-35.01900,-5.91932,18.92721,20,
140395,24.60381,95193,14.24607,100.07400,523.42920,-10.06421,-0.14357,0.05743,-0.14630,-0.12126,0.00489,-34.15668,-7.65858,18.18182,20,
141744,24.62148,95194,14.25669,98.95500,523.42920,-9.70529,-1.27777,-1.99561,0.18051,0.13378,-0.05315,-34.49284,-3.05466,26.98042,20,
143088,24.64073,95194,14.24277,99.13000,523.51636,-9.96371,-0.87577,-0.77527,0.21075,0.35033,-0.02046,-34.58053,-6.19702,21.87957,20,
144434,24.65745,95193,14.23366,99.48200,523.51636,-9.62633,-0.69631,0.15793,0.22907,0.10843,-0.02566,-35.29670,-6.44548,17.78720,20,
145780,24.67197,95193,14.22938,100.01400,523.51636,-9.99243,-0.52403,0.11486,0.00702,-0.00702,-0.00489,-35.20900,-6.85472,16.91026,20,
147130,24.68617,95193,14.23492,99.83600,523.51636,-10.01396,-0.12203,-0.00718,-0.01344,-0.07391,-0.02291,-34.66822,-7.52704,17.21719,20,
148475,24.70289,95193,14.23074,100.43300,523.42920,-9.89911,-0.79681,-0.12203,-0.03054,-0.03054,0.06353,-35.31131,-5.52470,20.79801,20,
149825,24.71772,95193,14.24124,99.95500,523.42920,-9.99243,-0.48096,-0.89013,-0.02413,-0.05467,0.08766,-34.87284,-5.72932,21.79187,20,
151170,24.73571,95194,14.23711,100.01400,523.42920,-9.97807,-0.51685,-0.47378,0.07514,0.05376,-0.00825,-35.04823,-7.22011,20.79801,20,
152518,24.74833,95193,14.24259,99.95500,523.42920,-9.91346,-0.33021,-0.45942,-0.08735,-0.03696,0.01802,-34.22976,-6.41625,22.02572,20,
153864,24.76600,95194,14.23844,100.55300,523.42920,-9.88475,-0.17946,-0.35892,0.03421,-0.01680,-0.01069,-33.63052,-6.82549,21.01725,20,
